Name, Address, Zipcode, Distance_from_94501, lat, lng 
Al Hamra,  3083 16th St. San Francisco, 94103, 14.381, 37.76494, -122.421363
Amber Dhara,  680 Valencia St. San Francisco, 94110, 15.097, 37.76201, -122.421607
Amber India,  25 Yerba Buena Lane San Francisco, 94103, 13.125, 37.78584, -122.404403
Ananda Fuara,  1298 Market St. San Francisco, 94102, 13.908, 37.77782, -122.415901
Dosa ,  995 Valencia St. San Francisco, 94110, 15.439, 37.75699, -122.421134
Aslam's Rasoi,  1037 Valencia St. San Francisco, 94110, 15.486, 37.75629, -122.421066
Chaat Cafe,  320 Third St. San Francisco, 94107, 12.506, 37.78353, -122.398628
Curry Boyzz,  4238 18th St. San Francisco, 94114, 15.632, 37.76079, -122.436767
Dosa on Fillmore,  1700 Fillmore St. San Francisco, 94115, 15.853, 37.78530, -122.433120
Gajalee,  525 Valencia St. San Francisco, 94110, 14.924, 37.76456, -122.421852
Guddu de Kahari,  1501 Noriega St. San Francisco, 94122, 18.807, 37.75410, -122.479827
India Clay Oven,  2436 Clement St. San Francisco, 94121, 18.904, 37.78198, -122.485511
India Garden,  1261 Folsom St. San Francisco, 94103, 13.533, 37.77425, -122.411010
India Palace,  1740 Fillmore St. San Francisco, 94115, 15.886, 37.78577, -122.433219
Indian Oven,  233 Fillmore San Francisco, 94117, 14.967, 37.77166, -122.430374
Kasa Indian Eatery,  4001 18th St. San Francisco, 94114, 15.728, 37.76102, -122.432914
Little Delhi,  83 Eddy St. San Francisco, 94102, 13.382, 37.78437, -122.409187
Maharani,  1122 Post St. San Francisco, 94109, 13.876, 37.78677, -122.420280
Masala,  1220 Ninth Ave. San Francisco, 94122, 17.287, 37.76550, -122.466407
Naan 'n' Chutney,  525 Haight St. San Francisco, 94117, 14.961, 37.77205, -122.430885
Noori,  1924 Irving St. San Francisco, 94122, 18.061, 37.76351, -122.478706
Pakwan,  3180 16th St. San Francisco, 94103, 14.995, 37.76481, -122.423637
Prana,  540 Howard St. San Francisco, 94105, 12.517, 37.78768, -122.397094
Raja Cuisine of India,  500 Haight St. San Francisco, 94117, 14.956, 37.77206, -122.430801
Rotee,  400 Haight St. San Francisco, 94117, 14.855, 37.77230, -122.428962
Roti Indian Bistro,  53 W. Portal Ave. San Francisco, 94127, 20.260, 37.74029, -122.466300
Shalimar,  532 Jones St. San Francisco, 94102, 13.792, 37.78610, -122.413040
Taste of the Himalayas,  2420 Lombard St. San Francisco, 94123, 16.266, 37.79922, -122.441337
Udupi Palace,  1007 Valencia St. San Francisco, 94110, 15.460, 37.75667, -122.421104
Urban Curry,  523 Broadway San Francisco, 94133, 13.701, 37.79797, -122.405876
Viva Goa,  2420 Lombard St. San Francisco, 94123, 16.266, 37.79922, -122.441337
Hong Kong Lounge 2,  3300 Geary Blvd. San Francisco, 94118, 17.075, 37.78166, -122.454170
Ton Kiang,  5821 Geary Blvd. San Francisco, 94121, 18.576, 37.78016, -122.481925
Yank Sing,  101 Spear St. San Francisco, 94105, 12.701, 37.79253, -122.394065
Canton,  655 Folsom St. San Francisco, 94107, 12.411, 37.78451, -122.398017
Dragon Well,  2142 Chestnut St. San Francisco, 94123, 15.877, 37.80050, -122.438728
Gold Mountain,  644 Broadway San Francisco, 94133, 13.805, 37.79773, -122.407791
Gourmet Carousel,  1559 Franklin St. San Francisco, 94109, 14.127, 37.78893, -122.423736
Great Eastern,  649 Jackson St. San Francisco, 94133, 13.226, 37.79611, -122.406036
Jasmine Tea House,  3253 Mission St. San Francisco, 94110, 16.094, 37.74476, -122.420433
Kirin,  6135 Geary Blvd. San Francisco, 94121, 18.760, 37.78000, -122.485313
Lichee Garden,  1416 Powell St. San Francisco, 94133, 13.971, 37.79780, -122.410362
Louie's California Chinese Cuisine,  646 Washington St. San Francisco, 94111, 13.363, 37.79541, -122.404335
M.Y. China,  845 Market St. San Francisco, 94103, 13.222, 37.78480, -122.407051
Old Mandarin Islamic,  3132 Vicente St. San Francisco, 94116, 23.945, 37.73821, -122.500747
R & G Lounge,  631 Kearny St. San Francisco, 94108, 13.112, 37.79411, -122.404731
S&T Hong Kong Seafood,  2588 Noriega San Francisco, 94122, 19.436, 37.75359, -122.491363
Spices I,  294 Eighth Ave. San Francisco, 94118, 17.754, 37.78293, -122.466583
Spices II,  291 Sixth Ave. San Francisco, 94118, 17.649, 37.78320, -122.464447
Burma Super Star,  309 Clement St. San Francisco, 94118, 17.530, 37.78305, -122.462532
Coriya Restaurant,  852 Clement St. San Francisco, 94118, 17.838, 37.78278, -122.468208
Dragon River,  5045 Geary Blvd. San Francisco, 94118, 17.988, 37.78054, -122.473365
Eliza's,  2877 California San Francisco, 94115, 16.540, 37.78790, -122.441741
Eric's Restaurant,  1500 Church St. San Francisco, 94131, 16.383, 37.74674, -122.426956
Green Garden,  434 Broadway San Francisco, 94133, 13.626, 37.79814, -122.404495
Hakkasan,  1 Kearny St. San Francisco, 94108, 12.953, 37.78796, -122.403480
House of Nanking,  919 Kearny St. San Francisco, 94133, 13.241, 37.79659, -122.405235
